"date","region","travel_rate","total_flights"
2020-09-15,"Alabama",0.0299555889210653,10
2020-09-15,"Alaska",0.0347560629295167,33
2020-09-15,"Arizona",0.0332271118737267,204
2020-09-15,"Arkansas",0.0330004608564511,7
2020-09-15,"California",0.0218939103824536,312
2020-09-15,"Colorado",0.0340385609449345,287
2020-09-15,"Connecticut",0.0211421233458064,11
2020-09-15,"Florida",0.0357310322787983,269
2020-09-15,"Georgia",0.0414491908507987,453
2020-09-15,"Hawaii",0.0321726558553537,20
2020-09-15,"Idaho",0.0434585021466812,14
2020-09-15,"Illinois",0.022874910472087,290
2020-09-15,"Indiana",0.0267871410196966,28
2020-09-15,"Iowa",0.0297251303554654,3
2020-09-15,"Kansas",0.0315303204360472,7
2020-09-15,"Kentucky",0.025884415823653,17
2020-09-15,"Louisiana",0.0306623307769175,36
2020-09-15,"Maine",0.0325448426054247,6
2020-09-15,"Maryland",0.0337280254841385,152
2020-09-15,"Massachusetts",0.0218122720342151,64
2020-09-15,"Michigan",0.0261723816915162,84
2020-09-15,"Minnesota",0.0281703842510455,110
2020-09-15,"Missouri",0.0306337244564668,63
2020-09-15,"Montana",0.0460962600345448,7
2020-09-15,"Nebraska",0.0308761382763408,18
2020-09-15,"Nevada",0.0500799794338599,160
2020-09-15,"New Hampshire",0.0300125790327386,5
2020-09-15,"New Jersey",0.0236124808623465,57
2020-09-15,"New Mexico",0.0450317982212633,17
2020-09-15,"New York",0.018604457522553,109
2020-09-15,"North Carolina",0.0348448915737044,185
2020-09-15,"North Dakota",0.0496912001671864,1
2020-09-15,"Ohio",0.0229316056904993,20
2020-09-15,"Oklahoma",0.0277615766634313,16
2020-09-15,"Oregon",0.0304132683324153,42
2020-09-15,"Pennsylvania",0.0226538734619168,51
2020-09-15,"Rhode Island",0.0263425616192509,9
2020-09-15,"South Carolina",0.0407024461437783,15
2020-09-15,"Tennessee",0.0336487083353429,102
2020-09-15,"Texas",0.0317094106740992,369
2020-09-15,"Utah",0.0343261958358973,130
2020-09-15,"Washington",0.0302450629088136,93
2020-09-15,"Washington D. C.",0.0453523265483206,93
2020-09-15,"Wisconsin",0.0264922416434777,24
2020-09-16,"Alabama",0.0299366227614559,10
2020-09-16,"Alaska",0.0342049141795751,34
2020-09-16,"Arizona",0.0327939621835391,205
2020-09-16,"Arkansas",0.0319856052685855,7
2020-09-16,"California",0.0218306891903586,321
2020-09-16,"Colorado",0.0344886488487409,299
2020-09-16,"Connecticut",0.0210241089418467,12
2020-09-16,"Florida",0.0355583266748463,284
2020-09-16,"Georgia",0.0415521963206455,458
2020-09-16,"Hawaii",0.0320804016997364,20
2020-09-16,"Idaho",0.042933732343914,14
2020-09-16,"Illinois",0.0231049099512234,292
2020-09-16,"Indiana",0.0268040435560399,30
2020-09-16,"Iowa",0.0302022252549118,3
2020-09-16,"Kansas",0.0325367730155095,6
2020-09-16,"Kentucky",0.0263628208840456,18
2020-09-16,"Louisiana",0.0303664804273545,38
2020-09-16,"Maine",0.0329300726058264,6
2020-09-16,"Maryland",0.0336670957939979,152
2020-09-16,"Massachusetts",0.0218499601147742,65
2020-09-16,"Michigan",0.025914419510897,84
2020-09-16,"Minnesota",0.0276486798442372,108
2020-09-16,"Missouri",0.0301948457657504,63
2020-09-16,"Montana",0.0474694157766198,8
2020-09-16,"Nebraska",0.0311649651500547,19
2020-09-16,"Nevada",0.0482370500133599,167
2020-09-16,"New Hampshire",0.0294201003376077,5
2020-09-16,"New Jersey",0.0235314837624084,58
2020-09-16,"New Mexico",0.0452119830536016,17
2020-09-16,"New York",0.0180540738894395,111
2020-09-16,"North Carolina",0.034849470139564,186
2020-09-16,"North Dakota",0.0507540763116408,1
2020-09-16,"Ohio",0.0232082043700119,21
2020-09-16,"Oklahoma",0.0278694025120114,16
2020-09-16,"Oregon",0.0309891022693432,45
2020-09-16,"Pennsylvania",0.0227969673252243,69
2020-09-16,"Rhode Island",0.0263775522124307,9
2020-09-16,"South Carolina",0.0399604013757154,15
2020-09-16,"Tennessee",0.0335042680798401,105
2020-09-16,"Texas",0.0318246018755199,421
2020-09-16,"Utah",0.0342484155468208,132
2020-09-16,"Washington",0.0296973064326814,96
2020-09-16,"Washington D. C.",0.0452717967966162,95
