"","age_gp","sex","region","july1_2020","july1_2021"
"617","75-84","male","Missouri",136996,138869
"618","75-84","female","Missouri",173936,176386
"619","85+","total","Missouri",120502,119051
"620","85+","male","Missouri",42182,42232
"621","85+","female","Missouri",78320,76819
"622","Total","total","Missouri",6154481,6168187
"623","Total","male","Missouri",3037833,3044665
"624","Total","female","Missouri",3116648,3123522
"625","0-17","total","Montana",234176,235070
"626","0-17","male","Montana",120413,120934
"627","0-17","female","Montana",113763,114136
"628","18-29","total","Montana",168649,171626
"629","18-29","male","Montana",88178,89847
"630","18-29","female","Montana",80471,81779
"631","30-49","total","Montana",263773,271367
"632","30-49","male","Montana",135460,139263
"633","30-49","female","Montana",128313,132104
"634","50-64","total","Montana",210510,209785
"635","50-64","male","Montana",104839,104715
"636","50-64","female","Montana",105671,105070
"637","65-74","total","Montana",129802,135439
"638","65-74","male","Montana",64747,67184
"639","65-74","female","Montana",65055,68255
"640","75-84","total","Montana",58451,60197
"641","75-84","male","Montana",28257,29167
"642","75-84","female","Montana",30194,31030
"643","85+","total","Montana",20832,20787
"644","85+","male","Montana",8122,8160
"645","85+","female","Montana",12710,12627
"646","Total","total","Montana",1086193,1104271
"647","Total","male","Montana",550016,559270
"648","Total","female","Montana",536177,545001
"649","0-17","total","Nebraska",487195,482884
"650","0-17","male","Nebraska",250167,248016
"651","0-17","female","Nebraska",237028,234868
"652","18-29","total","Nebraska",318609,319390
"653","18-29","male","Nebraska",162631,163160
"654","18-29","female","Nebraska",155978,156230
"655","30-49","total","Nebraska",488286,489413
"656","30-49","male","Nebraska",250664,251078
"657","30-49","female","Nebraska",237622,238335
"658","50-64","total","Nebraska",353338,350115
"659","50-64","male","Nebraska",178192,176758
"660","50-64","female","Nebraska",175146,173357
"661","65-74","total","Nebraska",186492,193977
"662","65-74","male","Nebraska",90104,93755
"663","65-74","female","Nebraska",96388,100222
"664","75-84","total","Nebraska",88798,89882
"665","75-84","male","Nebraska",39629,40209
"666","75-84","female","Nebraska",49169,49673
"667","85+","total","Nebraska",38737,38031
"668","85+","male","Nebraska",13853,13816
"669","85+","female","Nebraska",24884,24215
"670","Total","total","Nebraska",1961455,1963692
"671","Total","male","Nebraska",985240,986792
"672","Total","female","Nebraska",976215,976900
"673","0-17","total","Nevada",700974,698748
"674","0-17","male","Nevada",358756,357524
"675","0-17","female","Nevada",342218,341224
"676","18-29","total","Nevada",472282,471509
"677","18-29","male","Nevada",241243,241275
"678","18-29","female","Nevada",231039,230234
