region,age_gp,sex,date,loess_rate,deaths,pop_est,pop_est_adj,death_rate_adj,death_rate
Montana,30-49,male,2021-06-01,0.03946478355876683,0,138946.08333333323,144429.5604384216,0,0
Montana,30-49,male,2021-07-01,0.0437884002891832,0,139263,145361.10398947253,0,0
Montana,50-64,male,2020-07-01,0.04203462709665957,0,104839,109245.8682701867,0,0
Montana,50-64,male,2020-08-01,0.04293080427103012,10,104828.66666666667,109329.0456373264,9.146700167101674,9.539375361701316
Montana,50-64,male,2020-09-01,0.04090124287699215,11,104818.33333333334,109105.53344296153,10.081981777533407,10.49434736289771
Montana,50-64,male,2020-10-01,0.03512939536860048,73,104808.00000000001,108489.8416697923,67.28740578513165,69.65117166628501
Montana,50-64,male,2020-11-01,0.03139273798949853,85,104797.66666666669,108087.55235824415,78.63995265456374,81.10867608375503
Montana,50-64,male,2020-12-01,0.03085771956401854,62,104787.33333333336,108020.83147919469,57.396336568601114,59.16745662643703
Montana,50-64,male,2021-01-01,0.02964017693184017,27,104777.00000000003,107882.60881838745,25.027203453572895,25.769014192045958
Montana,50-64,male,2021-02-01,0.02806274265601691,12,104766.6666666667,107706.70667226208,11.141367488390937,11.454024817053767
Montana,50-64,male,2021-03-01,0.02818895467542054,0,104756.33333333337,107709.30486562997,0,0
Montana,50-64,male,2021-04-01,0.02955917510098727,0,104746.00000000004,107842.20535512807,0,0
Montana,50-64,male,2021-05-01,0.032643493165435807,10,104735.66666666672,108154.60468567742,9.246023346913743,9.547845846846183
Montana,50-64,male,2021-06-01,0.0370187368841507,0,104725.33333333339,108602.13289310504,0,0
Montana,50-64,male,2021-07-01,0.04247861504674746,0,104715,109163.14817462018,0,0
Nebraska,18-29,male,2020-07-01,0.0303969778506221,0,162631,167574.49090482452,0,0
Nebraska,18-29,male,2020-08-01,0.03015769114668392,0,162675.08333333334,167580.98825376108,0,0
Nebraska,18-29,male,2020-09-01,0.02931697449786961,0,162719.1666666667,167489.60032614795,0,0
Nebraska,18-29,male,2020-10-01,0.02780470029267677,0,162763.25000000003,167288.83338491202,0,0
Nebraska,18-29,male,2020-11-01,0.02731927377506006,0,162807.33333333337,167255.11144525418,0,0
Nebraska,18-29,male,2020-12-01,0.026727367921477,0,162851.41666666672,167204.00639645048,0,0
Nebraska,18-29,male,2021-01-01,0.02519831897929159,0,162895.50000000006,167000.19276929123,0,0
Nebraska,18-29,male,2021-02-01,0.02368075435146108,0,162939.5833333334,166798.11558037947,0,0
Nebraska,18-29,male,2021-03-01,0.02444878454674286,0,162983.66666666674,166968.41921763823,0,0
Nebraska,18-29,male,2021-04-01,0.02545004183673864,0,163027.7500000001,167176.81305804948,0,0
Nebraska,18-29,male,2021-05-01,0.02547495442765689,0,163071.83333333343,167226.08085593456,0,0
Nebraska,18-29,male,2021-06-01,0.0260284427148308,0,163115.91666666677,167361.5699595022,0,0
Nebraska,18-29,male,2021-07-01,0.02687645064158156,0,163160,167545.16168668043,0,0
Nebraska,30-49,male,2020-07-01,0.03207950984727655,0,250664,258705.17825635773,0,0
Nebraska,30-49,male,2020-08-01,0.03213504168404089,0,250698.5,258754.70674762654,0,0
Nebraska,30-49,male,2020-09-01,0.0315686338134539,0,250733,258648.29826194874,0,0
Nebraska,30-49,male,2020-10-01,0.03046244374405195,0,250767.5,258406.49086158656,0,0
Nebraska,30-49,male,2020-11-01,0.03068127626768375,0,250802,258496.92545048764,0,0
Nebraska,30-49,male,2020-12-01,0.0303430736847621,0,250836.5,258447.65040232782,0,0
Nebraska,30-49,male,2021-01-01,0.02840173253092854,0,250871,257996.17104176656,0,0
Nebraska,30-49,male,2021-02-01,0.02679718273909714,0,250905.5,257629.06053374454,0,0
Nebraska,30-49,male,2021-03-01,0.02761655962549226,0,250940,257870.09947242102,0,0
Nebraska,30-49,male,2021-04-01,0.02896547742709216,0,250974.5,258244.09621452575,0,0
Nebraska,30-49,male,2021-05-01,0.02983278968688455,0,251009,258497.29870651523,0,0
Nebraska,30-49,male,2021-06-01,0.030356749806696,0,251043.5,258664.36472009725,0,0
Nebraska,30-49,male,2021-07-01,0.03051857452043385,0,251078,258740.54265344152,0,0
Nebraska,50-64,male,2020-07-01,0.02768290023538155,10,178192,183124.8713587431,5.460754689301552,5.611924216575379
Nebraska,50-64,male,2020-08-01,0.0279039656734959,13,178072.5,183041.4289273936,7.102217282818888,7.300397310084375
Nebraska,50-64,male,2020-09-01,0.02737885106284836,13,177953,182825.14868318706,7.110619131795354,7.3052997139694185
Nebraska,50-64,male,2020-10-01,0.02665103738375027,44,177833.5,182572.94725658317,24.099956023694777,24.742244852629003
Nebraska,50-64,male,2020-11-01,0.02630371293157921,158,177714,182388.53803992269,86.62825071025883,88.90689534870636
Nebraska,50-64,male,2020-12-01,0.02485272509361631,105,177594.5,182008.20728663824,57.68970617607329,59.123452584398734
