"sex","region","daily","monthly","date","time_of_day","time_info"
"F","Alberta",1035308,1300000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","British Columbia",1156982,1500000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Manitoba",317699,4e+05,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","New Brunswick",220663,260000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Newfoundland and Labrador",167029,190000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Northwest Territories",11945,14000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Nova Scotia",274452,330000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Nunavut",10208,12000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Ontario",3228496,4200000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Prince Edward Island",44203,52000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Quebec",2092063,2600000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Saskatchewan",308250,370000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Yukon",11007,13000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Alabama",1380796,1700000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Alaska",191711,250000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Arizona",1684646,2200000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Arkansas",803123,1e+06,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","California",8111839,1.1e+07,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Colorado",1399747,1800000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Connecticut",868985,1100000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Delaware",228847,290000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Florida",5395039,7e+06,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Georgia",2655809,3400000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Hawaii",295305,4e+05,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Idaho",432288,550000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Illinois",3280246,4100000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Indiana",1703526,2100000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Iowa",841086,1e+06,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Kansas",772232,950000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Kentucky",1301433,1600000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Louisiana",1194855,1500000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Maine",368665,450000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Maryland",1311780,1700000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Massachusetts",1727682,2200000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Michigan",2571125,3200000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Minnesota",1375116,1800000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Mississippi",809186,1e+06,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Missouri",1613036,2e+06,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Montana",258338,330000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Nebraska",521262,630000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Nevada",721248,950000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","New Hampshire",358462,440000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","New Jersey",2039415,2600000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","New Mexico",482539,620000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","New York",4853887,6400000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","North Carolina",2691461,3500000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","North Dakota",211588,250000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Ohio",2973471,3700000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Oklahoma",1046397,1300000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Oregon",998307,1300000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Pennsylvania",3205716,3900000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Rhode Island",274342,340000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","South Carolina",1365680,1700000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","South Dakota",232488,280000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Tennessee",1849684,2300000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Texas",7344953,9400000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Utah",723345,960000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Vermont",160685,2e+05,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Virginia",2138533,2700000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","West Virginia",505135,620000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Washington",1766589,2300000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Washington D. C.",240385,320000,2020-05-31,"20:29:58",2020-05-31 20:29:58
