"sex","region","daily","monthly","date","time_of_day","time_info"
"F","British Columbia",29358,33000,2020-03-08,NA,NA
"F","Manitoba",6941,7900,2020-03-08,NA,NA
"F","New Brunswick",4315,4900,2020-03-08,NA,NA
"F","Newfoundland and Labrador",5498,5500,2020-03-08,NA,NA
"F","Northwest Territories",998,1000,2020-03-08,NA,NA
"F","Nova Scotia",6663,7600,2020-03-08,NA,NA
"F","Nunavut",997,1000,2020-03-08,NA,NA
"F","Ontario",55285,64000,2020-03-08,NA,NA
"F","Prince Edward Island",1124,1200,2020-03-08,NA,NA
"F","Quebec",30924,35000,2020-03-08,NA,NA
"F","Saskatchewan",9093,9900,2020-03-08,NA,NA
"F","Yukon",996,1000,2020-03-08,NA,NA
"F","Alabama",40233,44000,2020-03-08,NA,NA
"F","Alaska",6190,6800,2020-03-08,NA,NA
"F","Arizona",65930,75000,2020-03-08,NA,NA
"F","Arkansas",24938,27000,2020-03-08,NA,NA
"F","California",184590,210000,2020-03-08,NA,NA
"F","Colorado",45593,50000,2020-03-08,NA,NA
"F","Connecticut",16770,19000,2020-03-08,NA,NA
"F","Delaware",8921,10000,2020-03-08,NA,NA
"F","Florida",219677,250000,2020-03-08,NA,NA
"F","Georgia",108343,120000,2020-03-08,NA,NA
"F","Hawaii",12289,14000,2020-03-08,NA,NA
"F","Idaho",14528,17000,2020-03-08,NA,NA
"F","Illinois",72767,80000,2020-03-08,NA,NA
"F","Indiana",42388,46000,2020-03-08,NA,NA
"F","Iowa",22685,24000,2020-03-08,NA,NA
"F","Kansas",24007,26000,2020-03-08,NA,NA
"F","Kentucky",31274,33000,2020-03-08,NA,NA
"F","Louisiana",34475,38000,2020-03-08,NA,NA
"F","Maine",8738,9200,2020-03-08,NA,NA
"F","Maryland",42118,47000,2020-03-08,NA,NA
"F","Massachusetts",35966,40000,2020-03-08,NA,NA
"F","Michigan",58210,64000,2020-03-08,NA,NA
"F","Minnesota",34737,39000,2020-03-08,NA,NA
"F","Mississippi",23258,27000,2020-03-08,NA,NA
"F","Missouri",46868,52000,2020-03-08,NA,NA
"F","Montana",10113,11000,2020-03-08,NA,NA
"F","Nebraska",14955,16000,2020-03-08,NA,NA
"F","Nevada",38607,43000,2020-03-08,NA,NA
"F","New Hampshire",8271,9800,2020-03-08,NA,NA
