date,sex,region,age_gp,monthly_trav,monthly_pop,month_yr,obs_rate,orig_date,loess_rate,loess_se
2020-06-01,M,Mississippi,50-65,7000,230000,2020-06,0.030434782608695653,2020-06-15,0.030775563247475757,6.116366529910537e-4
2020-06-01,M,Missouri,13-29,12000,460000,2020-06,0.02608695652173913,2020-06-15,0.02650908924811772,0.001156807038860553
2020-06-01,M,Missouri,30-50,20000,650000,2020-06,0.03076923076923077,2020-06-15,0.03117499364855875,0.0011892714700742894
2020-06-01,M,Missouri,50-65,14000,510000,2020-06,0.027450980392156862,2020-06-15,0.028006454767466098,9.703099933146805e-4
2020-06-01,M,Montana,13-29,3100,76000,2020-06,0.04078947368421053,2020-06-15,0.04112968350503739,0.001303787980277506
2020-06-01,M,Montana,30-50,4100,110000,2020-06,0.03727272727272727,2020-06-15,0.03862312054533131,0.001887006225770844
2020-06-01,M,Montana,50-65,3200,83000,2020-06,0.03855421686746988,2020-06-15,0.03837911611887896,0.0011423323199294191
2020-06-01,M,Nebraska,13-29,4800,160000,2020-06,0.03,2020-06-15,0.03008688030370897,8.902854100310527e-4
2020-06-01,M,Nebraska,30-50,6900,220000,2020-06,0.031363636363636364,2020-06-15,0.031471475817204546,8.553875901558529e-4
2020-06-01,M,Nebraska,50-65,4000,150000,2020-06,0.02666666666666667,2020-06-15,0.02682873502172462,7.825388222388096e-4
2020-06-01,M,Nevada,13-29,7300,220000,2020-06,0.03318181818181818,2020-06-15,0.0334600322365883,9.208189613407429e-4
2020-06-01,M,Nevada,30-50,15000,360000,2020-06,0.041666666666666664,2020-06-15,0.04210875174880682,0.0016527620883721567
2020-06-01,M,Nevada,50-65,10000,250000,2020-06,0.04,2020-06-15,0.03960156040414595,0.0013554587351407223
2020-06-01,M,New Hampshire,13-29,2000,88000,2020-06,0.022727272727272728,2020-06-15,0.02318854104818159,9.87518480618019e-4
2020-06-01,M,New Hampshire,30-50,3500,140000,2020-06,0.025,2020-06-15,0.025215853207877493,6.858786119474634e-4
2020-06-01,M,New Hampshire,50-65,3400,120000,2020-06,0.028333333333333332,2020-06-15,0.028876445431603073,0.0012195133951969684
2020-06-01,M,New Jersey,13-29,11000,570000,2020-06,0.01929824561403509,2020-06-15,0.0193254823153979,5.449322134444118e-4
2020-06-01,M,New Jersey,30-50,19000,910000,2020-06,0.020879120879120878,2020-06-15,0.020999781469280807,5.695717490436313e-4
2020-06-01,M,New Jersey,50-65,13000,690000,2020-06,0.01884057971014493,2020-06-15,0.019007424941825408,5.02599882646135e-4
2020-06-01,M,New Mexico,13-29,5800,160000,2020-06,0.03625,2020-06-15,0.0364678880027288,0.0016847348381005644
2020-06-01,M,New Mexico,30-50,9500,210000,2020-06,0.04523809523809524,2020-06-15,0.045241110633654276,0.001676384638518779
2020-06-01,M,New Mexico,50-65,6000,150000,2020-06,0.04,2020-06-15,0.040348034147353745,0.0016871856626512155
2020-06-01,M,New York,13-29,22000,1700000,2020-06,0.012941176470588235,2020-06-15,0.01322240640511367,5.929996661614386e-4
2020-06-01,M,New York,30-50,34000,2400000,2020-06,0.014166666666666666,2020-06-15,0.014032533421605039,6.825140772275942e-4
2020-06-01,M,New York,50-65,22000,1600000,2020-06,0.01375,2020-06-15,0.013928959039312452,5.589459092117822e-4
2020-06-01,M,North Carolina,13-29,24000,770000,2020-06,0.03116883116883117,2020-06-15,0.031248831996004756,7.326404760315112e-4
2020-06-01,M,North Carolina,30-50,37000,1200000,2020-06,0.030833333333333334,2020-06-15,0.03056569448878483,0.001134719773138199
2020-06-01,M,North Carolina,50-65,25000,820000,2020-06,0.03048780487804878,2020-06-15,0.030805903781373635,9.23462350623005e-4
2020-06-01,M,North Dakota,13-29,3300,66000,2020-06,0.05,2020-06-15,0.049819184185475006,0.0013360295418746936
2020-06-01,M,North Dakota,30-50,4300,90000,2020-06,0.04777777777777778,2020-06-15,0.04754457093317712,0.0020240978488686025
2020-06-01,M,North Dakota,50-65,2200,56000,2020-06,0.039285714285714285,2020-06-15,0.03887134998675687,0.0013902238628973114
2020-06-01,M,Ohio,13-29,15000,850000,2020-06,0.01764705882352941,2020-06-15,0.017649684807075385,4.528110536352083e-4
